,Date,Transaction Type,Num,Customer,Memo/Description,Qty,Sales Price,Amount,Balance
FireWrap Grip Kit - Pink,08/30/2018,Sales Receipt,#1801,,FireWrap  Grip Kit,1,34.95  ,34.95  ,199.90  
FireWrap Grip Kit - Pink,09/18/2018,Sales Receipt,#1847,,FireWrap  Grip Kit,1,34.95  ,34.95  ,234.85  
FireWrap Grip Kit - Pink,10/11/2018,Sales Receipt,#1898,,FireWrap  Grip Kit,2,34.95  ,69.90  ,304.75  
FireWrap Grip Kit - Pink,12/17/2018,Sales Receipt,#2102,,FireWrap  Grip Kit,1,34.95  ,34.95  ,339.70  
FireWrap Grip Kit - Pink,01/25/2019,Invoice,1248,,,2,26.00  ,52.00  ,391.70  
FireWrap Grip Kit - Pink,11/05/2019,Invoice,M-110519-005,,FireWrap Grip Kit - Pink,4,26.00  ,104.00  ,495.70  
Total for FireWrap Grip Kit - Pink,,,,,,17,,$	495.70  ,
FireWrap® Grip Kit Black,,,,,,,,,
FireWrap® Grip Kit Black,03/23/2018,Sales Receipt,#1396,,FireWrap  Grip Kit - Pre-Order,8,24.95  ,199.60  ,199.60  
FireWrap® Grip Kit Black,03/23/2018,Sales Receipt,#1391,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,224.55  
FireWrap® Grip Kit Black,03/23/2018,Sales Receipt,#1390,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,249.50  
FireWrap® Grip Kit Black,03/23/2018,Sales Receipt,#1395,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,274.45  
FireWrap® Grip Kit Black,03/25/2018,Sales Receipt,#1407,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,299.40  
FireWrap® Grip Kit Black,03/27/2018,Sales Receipt,#1415,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,324.35  
FireWrap® Grip Kit Black,03/28/2018,Sales Receipt,#1417,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,349.30  
FireWrap® Grip Kit Black,04/04/2018,Sales Receipt,#1424,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,374.25  
FireWrap® Grip Kit Black,04/07/2018,Sales Receipt,#1431,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,399.20  
FireWrap® Grip Kit Black,04/09/2018,Sales Receipt,#1434,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,424.15  
FireWrap® Grip Kit Black,04/09/2018,Sales Receipt,#1433,,FireWrap  Grip Kit - Pre-Order,2,24.95  ,49.90  ,474.05  
FireWrap® Grip Kit Black,04/12/2018,Sales Receipt,#1438,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,499.00  
FireWrap® Grip Kit Black,04/15/2018,Sales Receipt,#1450,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,523.95  
FireWrap® Grip Kit Black,04/17/2018,Sales Receipt,#1454,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,548.90  
FireWrap® Grip Kit Black,04/18/2018,Sales Receipt,#1458,,FireWrap  Grip Kit - Pre-Order,2,24.95  ,49.90  ,598.80  
FireWrap® Grip Kit Black,04/25/2018,Sales Receipt,#1464,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,623.75  
FireWrap® Grip Kit Black,04/26/2018,Sales Receipt,#1496,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,648.70  
FireWrap® Grip Kit Black,04/26/2018,Sales Receipt,#1488,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,673.65  
FireWrap® Grip Kit Black,04/26/2018,Sales Receipt,#1466,,FireWrap  Grip Kit - Pre-Order,2,24.95  ,49.90  ,723.55  
FireWrap® Grip Kit Black,04/26/2018,Sales Receipt,#1491,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,748.50  
FireWrap® Grip Kit Black,04/26/2018,Sales Receipt,#1469,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,773.45  
FireWrap® Grip Kit Black,04/26/2018,Sales Receipt,#1480,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,798.40  
FireWrap® Grip Kit Black,04/26/2018,Sales Receipt,#1471,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,823.35  
FireWrap® Grip Kit Black,04/26/2018,Sales Receipt,#1481,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,848.30  
FireWrap® Grip Kit Black,04/26/2018,Sales Receipt,#1494,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,873.25  
FireWrap® Grip Kit Black,04/26/2018,Sales Receipt,#1484,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,898.20  
FireWrap® Grip Kit Black,04/26/2018,Sales Receipt,#1465,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,923.15  
FireWrap® Grip Kit Black,04/27/2018,Sales Receipt,#1514,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,948.10  
FireWrap® Grip Kit Black,04/27/2018,Sales Receipt,#1519,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,973.05  
FireWrap® Grip Kit Black,04/27/2018,Sales Receipt,#1540,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,998.00  
FireWrap® Grip Kit Black,04/27/2018,Sales Receipt,#1506,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,"1,022.95  "
FireWrap® Grip Kit Black,04/27/2018,Sales Receipt,#1523,,FireWrap  Grip Kit - Pre-Order,2,24.95  ,49.90  ,"1,072.85  "
FireWrap® Grip Kit Black,04/27/2018,Sales Receipt,#1505,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,"1,097.80  "
FireWrap® Grip Kit Black,04/27/2018,Sales Receipt,#1532,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,"1,122.75  "
FireWrap® Grip Kit Black,04/27/2018,Sales Receipt,#1504,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,"1,147.70  "
FireWrap® Grip Kit Black,04/27/2018,Sales Receipt,1110,,,4,24.95  ,99.80  ,"1,247.50  "
FireWrap® Grip Kit Black,04/27/2018,Sales Receipt,#1539,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,"1,272.45  "
FireWrap® Grip Kit Black,04/27/2018,Sales Receipt,#1545,,FireWrap  Grip Kit - Pre-Order,2,24.95  ,49.90  ,"1,322.35  "
FireWrap® Grip Kit Black,04/27/2018,Sales Receipt,#1541,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,"1,347.30  "
FireWrap® Grip Kit Black,04/27/2018,Sales Receipt,#1538,,FireWrap  Grip Kit - Pre-Order,3,24.95  ,74.85  ,"1,422.15  "
FireWrap® Grip Kit Black,04/28/2018,Sales Receipt,#1556,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,"1,447.10  "
FireWrap® Grip Kit Black,04/28/2018,Sales Receipt,#1566,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,"1,472.05  "
FireWrap® Grip Kit Black,04/28/2018,Sales Receipt,#1563,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,"1,497.00  "
FireWrap® Grip Kit Black,04/29/2018,Sales Receipt,#1574,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,"1,521.95  "
FireWrap® Grip Kit Black,04/30/2018,Invoice,1111,,,3,20.00  ,60.00  ,"1,581.95  "
FireWrap® Grip Kit Black,04/30/2018,Invoice,1112,,,5,20.00  ,100.00  ,"1,681.95  "
FireWrap® Grip Kit Black,04/30/2018,Sales Receipt,#1584,,FireWrap  Grip Kit - Pre-Order,2,24.95  ,49.90  ,"1,731.85  "
FireWrap® Grip Kit Black,04/30/2018,Invoice,1113,,,3,20.00  ,60.00  ,"1,791.85  "
FireWrap® Grip Kit Black,04/30/2018,Sales Receipt,#1580,,FireWrap  Grip Kit - Pre-Order,2,24.95  ,49.90  ,"1,841.75  "
FireWrap® Grip Kit Black,05/01/2018,Sales Receipt,#1586,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,"1,866.70  "
FireWrap® Grip Kit Black,05/02/2018,Sales Receipt,#1589,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"1,901.65  "
FireWrap® Grip Kit Black,05/02/2018,Sales Receipt,#1590,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"1,936.60  "
FireWrap® Grip Kit Black,05/04/2018,Sales Receipt,#1595,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"1,971.55  "
FireWrap® Grip Kit Black,05/04/2018,Sales Receipt,#1593,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"2,006.50  "
FireWrap® Grip Kit Black,05/05/2018,Sales Receipt,#1601,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"2,041.45  "
FireWrap® Grip Kit Black,05/05/2018,Sales Receipt,#1599,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"2,076.40  "
FireWrap® Grip Kit Black,05/05/2018,Sales Receipt,#1600,,FireWrap  Grip Kit,2,34.95  ,69.90  ,"2,146.30  "
FireWrap® Grip Kit Black,05/05/2018,Sales Receipt,#1597,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"2,181.25  "
FireWrap® Grip Kit Black,05/09/2018,Invoice,1114,,,2,30.00  ,60.00  ,"2,241.25  "
FireWrap® Grip Kit Black,05/09/2018,Sales Receipt,#1611,,FireWrap  Grip Kit,2,34.95  ,69.90  ,"2,311.15  "
FireWrap® Grip Kit Black,05/10/2018,Sales Receipt,#1612,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"2,346.10  "
FireWrap® Grip Kit Black,05/11/2018,Sales Receipt,#1615,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"2,381.05  "
FireWrap® Grip Kit Black,05/12/2018,Invoice,1115,,,12,26.00  ,312.00  ,"2,693.05  "
FireWrap® Grip Kit Black,05/14/2018,Sales Receipt,#1618,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"2,728.00  "
FireWrap® Grip Kit Black,05/15/2018,Sales Receipt,#1620,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"2,762.95  "
FireWrap® Grip Kit Black,05/15/2018,Sales Receipt,#1619,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"2,797.90  "
FireWrap® Grip Kit Black,05/17/2018,Invoice,1117,,,12,20.00  ,240.00  ,"3,037.90  "
FireWrap® Grip Kit Black,05/18/2018,Sales Receipt,#1626,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"3,072.85  "
FireWrap® Grip Kit Black,05/18/2018,Sales Receipt,#1625,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"3,107.80  "
FireWrap® Grip Kit Black,05/18/2018,Sales Receipt,#1627,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"3,142.75  "
FireWrap® Grip Kit Black,05/19/2018,Sales Receipt,#1629,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"3,177.70  "
FireWrap® Grip Kit Black,05/21/2018,Sales Receipt,#1636,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"3,212.65  "
FireWrap® Grip Kit Black,05/21/2018,Sales Receipt,#1634,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"3,247.60  "
FireWrap® Grip Kit Black,05/23/2018,Sales Receipt,#1642,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"3,282.55  "
FireWrap® Grip Kit Black,05/25/2018,Sales Receipt,#1647,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"3,317.50  "
FireWrap® Grip Kit Black,06/03/2018,Sales Receipt,#1661,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"3,352.45  "
FireWrap® Grip Kit Black,06/04/2018,Invoice,1124,,,1,34.95  ,34.95  ,"3,387.40  "
FireWrap® Grip Kit Black,06/07/2018,Sales Receipt,#1668,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"3,422.35  "
FireWrap® Grip Kit Black,06/08/2018,Sales Receipt,#1669,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"3,457.30  "
FireWrap® Grip Kit Black,06/09/2018,Sales Receipt,#1671,,FireWrap  Grip Kit,2,34.95  ,69.90  ,"3,527.20  "
FireWrap® Grip Kit Black,06/18/2018,Sales Receipt,#1683,,FireWrap  Grip Kit,2,34.95  ,69.90  ,"3,597.10  "
FireWrap® Grip Kit Black,06/18/2018,Sales Receipt,#1679,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"3,632.05  "
FireWrap® Grip Kit Black,06/21/2018,Sales Receipt,#1688,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"3,667.00  "
FireWrap® Grip Kit Black,06/22/2018,Invoice,1133,,,17,26.00  ,442.00  ,"4,109.00  "
FireWrap® Grip Kit Black,06/28/2018,Sales Receipt,#1694,,FireWrap  Grip Kit,4,34.95  ,139.80  ,"4,248.80  "
FireWrap® Grip Kit Black,07/03/2018,Sales Receipt,#1698,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"4,283.75  "
FireWrap® Grip Kit Black,07/03/2018,Sales Receipt,#1699,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"4,318.70  "
FireWrap® Grip Kit Black,07/08/2018,Sales Receipt,#1709,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"4,353.65  "
FireWrap® Grip Kit Black,07/08/2018,Sales Receipt,#1708,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"4,388.60  "
FireWrap® Grip Kit Black,07/14/2018,Sales Receipt,#1717,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"4,423.55  "
FireWrap® Grip Kit Black,07/14/2018,Sales Receipt,#1716,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"4,458.50  "
FireWrap® Grip Kit Black,07/15/2018,Sales Receipt,#1720,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"4,493.45  "
FireWrap® Grip Kit Black,07/15/2018,Sales Receipt,#1722,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"4,528.40  "
FireWrap® Grip Kit Black,07/18/2018,Sales Receipt,#1725,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"4,563.35  "
FireWrap® Grip Kit Black,07/19/2018,Sales Receipt,#1728,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"4,598.30  "
FireWrap® Grip Kit Black,07/19/2018,Sales Receipt,#1730,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"4,633.25  "
FireWrap® Grip Kit Black,07/22/2018,Sales Receipt,#1735,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"4,668.20  "
FireWrap® Grip Kit Black,07/23/2018,Sales Receipt,#1737,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"4,703.15  "
FireWrap® Grip Kit Black,08/01/2018,Invoice,1154,,,50,34.95  ,"1,747.50  ","6,450.65  "
FireWrap® Grip Kit Black,08/02/2018,Sales Receipt,#1748,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"6,485.60  "
FireWrap® Grip Kit Black,08/02/2018,Sales Receipt,#1749,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"6,520.55  "
FireWrap® Grip Kit Black,08/04/2018,Sales Receipt,#1753,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"6,555.50  "
FireWrap® Grip Kit Black,08/07/2018,Sales Receipt,#1760,,FireWrap  Grip Kit,4,34.95  ,139.80  ,"6,695.30  "
FireWrap® Grip Kit Black,08/11/2018,Sales Receipt,#1770,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"6,730.25  "
FireWrap® Grip Kit Black,08/15/2018,Sales Receipt,#1777,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"6,765.20  "
FireWrap® Grip Kit Black,08/17/2018,Invoice,1161,,,6,34.95  ,209.70  ,"6,974.90  "
FireWrap® Grip Kit Black,08/19/2018,Sales Receipt,#1780,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"7,009.85  "
FireWrap® Grip Kit Black,08/21/2018,Invoice,1163,,,3,28.00  ,84.00  ,"7,093.85  "
FireWrap® Grip Kit Black,08/22/2018,Invoice,1164,,,4,34.95  ,139.80  ,"7,233.65  "
FireWrap® Grip Kit Black,08/23/2018,Sales Receipt,#1785,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"7,268.60  "
FireWrap® Grip Kit Black,08/23/2018,Sales Receipt,#1783,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"7,303.55  "
FireWrap® Grip Kit Black,08/24/2018,Sales Receipt,#1790,,FireWrap  Grip Kit,2,34.95  ,69.90  ,"7,373.45  "
FireWrap® Grip Kit Black,08/24/2018,Invoice,1166,,,1,30.00  ,30.00  ,"7,403.45  "
FireWrap® Grip Kit Black,08/24/2018,Sales Receipt,#1789,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"7,438.40  "
FireWrap® Grip Kit Black,08/24/2018,Sales Receipt,#1787,,FireWrap  Grip Kit,4,34.95  ,139.80  ,"7,578.20  "
FireWrap® Grip Kit Black,08/24/2018,Sales Receipt,#1788,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"7,613.15  "
FireWrap® Grip Kit Black,08/28/2018,Sales Receipt,#1796,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"7,648.10  "
FireWrap® Grip Kit Black,08/29/2018,Sales Receipt,#1800,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"7,683.05  "
FireWrap® Grip Kit Black,08/30/2018,Sales Receipt,#1803,,FireWrap  Grip Kit,2,34.95  ,69.90  ,"7,752.95  "
FireWrap® Grip Kit Black,08/31/2018,Sales Receipt,#1804,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"7,787.90  "
FireWrap® Grip Kit Black,09/03/2018,Sales Receipt,#1810,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"7,822.85  "
FireWrap® Grip Kit Black,09/05/2018,Sales Receipt,#1814,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"7,857.80  "
FireWrap® Grip Kit Black,09/05/2018,Sales Receipt,#1813,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"7,892.75  "
FireWrap® Grip Kit Black,09/09/2018,Sales Receipt,#1819,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"7,927.70  "
FireWrap® Grip Kit Black,09/10/2018,Invoice,1169,,,1,26.00  ,26.00  ,"7,953.70  "
FireWrap® Grip Kit Black,09/10/2018,Sales Receipt,#1822,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"7,988.65  "
FireWrap® Grip Kit Black,09/12/2018,Sales Receipt,#1831,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"8,023.60  "
FireWrap® Grip Kit Black,09/12/2018,Sales Receipt,#1829,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"8,058.55  "
FireWrap® Grip Kit Black,09/12/2018,Sales Receipt,#1828,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"8,093.50  "
FireWrap® Grip Kit Black,09/12/2018,Sales Receipt,#1827,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"8,128.45  "
FireWrap® Grip Kit Black,09/12/2018,Sales Receipt,#1826,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"8,163.40  "
FireWrap® Grip Kit Black,09/13/2018,Sales Receipt,#1836,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"8,198.35  "
FireWrap® Grip Kit Black,09/16/2018,Sales Receipt,#1840,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"8,233.30  "
FireWrap® Grip Kit Black,09/17/2018,Sales Receipt,#1841,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"8,268.25  "
FireWrap® Grip Kit Black,09/18/2018,Sales Receipt,#1844,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"8,303.20  "
FireWrap® Grip Kit Black,09/18/2018,Sales Receipt,#1843,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"8,338.15  "
FireWrap® Grip Kit Black,09/18/2018,Sales Receipt,#1848,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"8,373.10  "
FireWrap® Grip Kit Black,09/18/2018,Sales Receipt,#1845,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"8,408.05  "
FireWrap® Grip Kit Black,09/19/2018,Sales Receipt,#1850,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"8,443.00  "
FireWrap® Grip Kit Black,09/20/2018,Sales Receipt,#1856,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"8,477.95  "
FireWrap® Grip Kit Black,09/20/2018,Sales Receipt,#1853,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"8,512.90  "
FireWrap® Grip Kit Black,09/21/2018,Sales Receipt,#1861,,FireWrap  Grip Kit,2,34.95  ,69.90  ,"8,582.80  "
FireWrap® Grip Kit Black,09/24/2018,Sales Receipt,#1867,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"8,617.75  "
FireWrap® Grip Kit Black,09/24/2018,Sales Receipt,#1865,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"8,652.70  "
FireWrap® Grip Kit Black,09/25/2018,Sales Receipt,#1869,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"8,687.65  "
FireWrap® Grip Kit Black,09/27/2018,Sales Receipt,#1874,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"8,722.60  "
FireWrap® Grip Kit Black,09/27/2018,Sales Receipt,#1873,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"8,757.55  "
FireWrap® Grip Kit Black,09/28/2018,Sales Receipt,#1877,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"8,792.50  "
FireWrap® Grip Kit Black,10/02/2018,Invoice,1176,,,24,28.00  ,672.00  ,"9,464.50  "
FireWrap® Grip Kit Black,10/03/2018,Sales Receipt,#1886,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"9,499.45  "
FireWrap® Grip Kit Black,10/03/2018,Sales Receipt,#1887,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"9,534.40  "
FireWrap® Grip Kit Black,10/06/2018,Sales Receipt,#1891,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"9,569.35  "
FireWrap® Grip Kit Black,10/08/2018,Sales Receipt,#1893,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"9,604.30  "
FireWrap® Grip Kit Black,10/08/2018,Sales Receipt,#1894,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"9,639.25  "
FireWrap® Grip Kit Black,10/09/2018,Sales Receipt,#1895,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"9,674.20  "
FireWrap® Grip Kit Black,10/10/2018,Invoice,1178,,,1,34.95  ,34.95  ,"9,709.15  "
FireWrap® Grip Kit Black,10/13/2018,Sales Receipt,#1902,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"9,744.10  "
FireWrap® Grip Kit Black,10/15/2018,Sales Receipt,#1903,,FireWrap  Grip Kit,2,34.95  ,69.90  ,"9,814.00  "
FireWrap® Grip Kit Black,10/16/2018,Sales Receipt,#1906,,FireWrap  Grip Kit,2,34.95  ,69.90  ,"9,883.90  "
FireWrap® Grip Kit Black,10/17/2018,Sales Receipt,#1909,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"9,918.85  "
FireWrap® Grip Kit Black,10/17/2018,Sales Receipt,#1910,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"9,953.80  "
FireWrap® Grip Kit Black,10/23/2018,Sales Receipt,#1958,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"9,988.75  "
FireWrap® Grip Kit Black,10/23/2018,Sales Receipt,#1957,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"10,023.70  "
FireWrap® Grip Kit Black,10/26/2018,Sales Receipt,#1964,,FireWrap  Grip Kit,2,34.95  ,69.90  ,"10,093.60  "
FireWrap® Grip Kit Black,11/01/2018,Sales Receipt,#1975,,FireWrap  Grip Kit,2,34.95  ,69.90  ,"10,163.50  "
FireWrap® Grip Kit Black,11/01/2018,Sales Receipt,#1977,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"10,198.45  "
FireWrap® Grip Kit Black,11/02/2018,Sales Receipt,#1979,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"10,233.40  "
FireWrap® Grip Kit Black,11/03/2018,Sales Receipt,#1984,,FireWrap  Grip Kit,2,34.95  ,69.90  ,"10,303.30  "
FireWrap® Grip Kit Black,11/03/2018,Sales Receipt,#1985,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"10,338.25  "
FireWrap® Grip Kit Black,11/08/2018,Sales Receipt,#1990,,FireWrap  Grip Kit,1,34.95  ,34.95  ,"10,373.20  "
FireWrap® Grip Kit Black,11/12/2018,Sales Receipt,#1994,,FireWrap  Grip Kit,2,34.95  ,69.90  ,"10,443.10  "
FireWrap® Grip Kit Black,11/13/2018,Invoice,1203,,,8,28.00  ,224.00  ,"10,667.10  "
